Company,Description,Track,Contracted tons,Location,Pathways,Tons,Contracted value,Delivery timeline
Flux,"Flux accelerates the natural ability of rocks to absorb CO₂ by spreading basalt on farms in Sub-Saharan Africa, a region with high weathering potential due to its humid, tropical climate. They are introducing field weathering to new regions and developing a tech platform to make robust, responsible measurement and future deployments easier. In addition to storing CO₂ as bicarbonate, the approach provides significant agronomic benefits to farmers who have historically had less access to soil amendments such as fertilizer or lime.",Prepurchase-2024,1142,"Nairobi, Kenya",Field weathering,0,0,not specified
NULIFE,NULIFE uses a process called hydrothermal liquefaction to efficiently transform wet waste biomass into a bio-oil that is cheap to transport and is injected underground for permanent removal. Their process can destroy contaminants in waste biomass like PFAS and generates potential scalable co-products that lower the price of carbon removal.,Prepurchase-2024,775,"Saskatoon, Saskatchewan, CA",Biomass carbon removal & storage,0,0,not specified
Planeteers,"Planeteers uses a novel pressure-swing process to convert limestone, a cheap and abundant feedstock, into hydrated carbonate minerals, a fast-dissolving material that can be a scalable feedstock for a range of carbon removal approaches. Their pilot project mixes this material into water treatment plant outflows where it reacts with CO₂ in the air to form durable bicarbonate. This approach is easy to measure and leverages existing infrastructure, reducing costs.",Prepurchase-2024,255,"Hamburg, Germany",Ocean alkalinity enhancement,0,0,not specified
Silica,"Silica applies basalt and other volcanic rocks across sugarcane farms in Mexico, where warm, wet conditions speed up the weathering of the materials and storage of CO₂ as bicarbonate. They are pioneering a novel approach that could make carbon removal measurement on small farms easier and cheaper and are working with consumer brands to demonstrate how carbon removal can be incorporated into agricultural supply chains.",Prepurchase-2024,1266,"Mexico City, Mexico",Field weathering,0,0,not specified
280 Earth,"280 Earth ’s continuous direct air capture system is a flexible design built with commercially available components and can draw power from several sources, including electricity or industrial waste heat. The captured CO₂ stream is then stored permanently.",Offtake-2024,61571,"Palo Alto, CA, US",Direct air capture,61571,$39.5M,2024 – 2030
Exergi,"Exergi is retrofitting one of their biomass-based district heating facilities in Stockholm to capture CO₂ produced as a byproduct of the combustion process. The CO₂ is extracted from the flue gas by mixing it with a solution of potassium carbonate. The resulting potassium bicarbonate is heated, breaking it down into carbon dioxide and water. The extracted carbon dioxide is then transported away for permanent geologic storage.",Offtake-2024,0,"Stockholm, Sweden",Biomass carbon removal & storage,0,$48.6M,2028 – 2030
Vaulted Deep,"Vaulted injects carbon-rich organic waste biomass deep underground for permanent storage. This disposal method also replaces harmful disposal practices like land application and incineration. As a spinoff from an established waste disposal company, Vaulted benefits from already-permitted well infrastructure, and a team with longstanding operational experience.",Offtake-2024,154146,"Houston, TX, US",Biomass carbon removal & storage,152480,$58.3M,2024 – 2027
Lithos,Lithos accelerates the natural ability of rocks to absorb CO₂ by spreading superfine crushed basalt on farmlands and measuring the removal empirically. They’re pioneering a novel measurement technique that more accurately quantifies the carbon permanently removed from enhanced weathering.,Offtake-2023,154880,"San Francisco, CA, US",Field weathering,154240,$57.1M,2024 – 2028
Heirloom,"Over geologic timescales, CO₂ chemically binds to minerals and permanently turns to stone. Heirloom is building a direct air capture solution that accelerates  this process to absorb CO₂ from the ambient air in days rather than years, and then extracts the CO₂ to be stored permanently underground.",Offtake-2023,26889,"Brisbane, CA, US",Direct air capture,26889,$26.6M,2025 – 2030
CarbonCapture Inc.,CarbonCapture ’s direct air capture machines use solid sorbents that soak up atmospheric CO₂ and release concentrated CO₂ when heated. CarbonCapture’s core innovation is making the capture system modular and upgradeable so that they can swap in best-in-class sorbents as they become available. The captured CO₂ stream is then stored permanently underground.,Offtake-2023,45502,"Los Angeles, CA, US",Direct air capture,45502,$20.0M,2025 – 2028
Airhive,"Airhive is building a geochemical direct air capture system using an ultra porous sorbent structure that can be made out of cheap and abundant minerals. This sorbent reacts rapidly with atmospheric CO₂ when mixed with air in Airhive’s fluidized bed reactor. Coupled with a regeneration process that’s powered by electricity to release the CO₂ for geologic storage, this provides a promising approach to low-cost DAC.",Prepurchase-2023,943,"London, UK",Direct air capture,0,0,not specified
Alkali Earth,"Alkali Earth uses alkaline byproducts, like steel slag, as gravel aggregates for building road surfaces. The calcium- and magnesium-rich minerals in the gravel react with atmospheric CO₂ to form stable carbonates, storing it permanently while cementing the road surfaces. Spreading the gravel across roads increases the surface area exposed to CO₂ and leverages road traffic to agitate the gravel further, accelerating CO₂ uptake.",Prepurchase-2023,1351,"Northfield, MN, US",Mineralization,0,0,not specified
Banyu Carbon,"Banyu uses sunlight to capture CO₂ from seawater and store it permanently. A reusable, light-activated molecule that becomes acidic when exposed to light causes carbon dissolved in seawater to degas as CO₂, which is then compressed for storage. Because only a small portion of the visible light spectrum is needed to trigger the reaction and the light-activated molecule can be reused thousands of times, this is a highly energy-efficient approach to direct ocean removal.",Prepurchase-2023,360,"Seattle, WA, US",Direct ocean removal,0,0,not specified
CarbonBlue,"CarbonBlue has developed a calcium looping process to remove CO₂ from seawater or freshwater. Their novel mineralization, dissolution and brine hydrolysis regeneration releases CO₂ captured from water without needing any external feedstock of minerals or chemicals. The reactors are highly energy efficient and require a low enough regeneration temperature to enable utilization of waste heat.",Prepurchase-2023,400,"Haifa, Israel",Direct ocean removal,0,0,not specified
EDAC Labs,"EDAC Labs uses an electrochemical process to produce acid and base. The acid is used to start the recovery of valuable metals from mining waste, and the base is used to capture CO₂ from air. The acid and base streams are then combined to produce metals that can be sold for applications such as batteries, and solid carbonates which permanently store CO₂. The EDAC Labs process is energy efficient, uses abundant mine wastes, and produces valuable revenue-generating co-products.",Prepurchase-2023,317,"Baltimore, MD, US",Mineralization,0,0,not specified
Holocene,"Holocene captures CO₂ from air using organic molecules that can be produced at low cost. In the first step of their process, CO₂ is captured from air when it comes into contact with a liquid solution. In the second step, a chemical reaction crystallizes the material as a solid. That solid is heated up to release the CO₂, minimizing energy wasted in heating water. Their process runs at lower temperatures, further reducing the energy required and increasing energy flexibility.",Prepurchase-2023,332,"Knoxville, TN, US",Direct air capture,0,0,not specified
Mati,"Mati applies silicate rock powders to agricultural fields, starting with rice paddy farms in India. These rocks react with water and CO₂ to produce dissolved inorganic carbon that is subsequently stored in the local watershed and eventually in the ocean. Mati relies on rice field flooding and higher subtropical temperatures to accelerate weathering, and extensive sampling and soil and river modeling to measure removal and deliver co-benefits to smallholder farmers.",Prepurchase-2023,1513,"Houston, TX, US",Field weathering,0,0,not specified
Planetary,Planetary harnesses the ocean for scalable removal. They introduce alkaline materials to existing ocean outfalls like wastewater plants and power station cooling loops. This speeds up the sequestration of CO₂ safely and permanently as bicarbonate ions in the ocean. Planetary then verifies the removal through advanced measurement and modeling techniques.,Prepurchase-2023,937,"Dartmouth, Nova Scotia, CA",Ocean alkalinity enhancement,0,0,not specified
Spiritus,"Spiritus uses a sorbent made from a readily available polymer with a high capacity for CO₂. The CO₂-saturated sorbent is regenerated using a novel desorption process, capturing the CO₂ and allowing the sorbent to be reused with less energy than a higher-heat vacuum chamber typically used in direct air capture approaches. The high-performance, inexpensive sorbent and lower regeneration energy provide a path to low cost.",Prepurchase-2023,713,"Los Alamos, NM, US",Direct air capture,0,0,not specified
Carboniferous,"Carboniferous sinks bundles of leftover sugarcane fiber and corn stover into deep, salty, oxygenless basins in the Gulf of Mexico. The lack of oxygen in these environments–and therefore absence of animals and most microbes–slows the breakdown of biomass so it is preserved and stored durably in ocean sediments. The team will experiment to determine the stability of sunken biomass as well as the interaction with ocean biogeochemistry.",R&D-2023,0,"Houston, TX, US",Biomass carbon removal & storage,0,0,not specified
Rewind.earth,"Rewind sinks agricultural and forest residues to the oxygenless bottom of the Black Sea, the largest anoxic body of water on Earth. Oxygenless water dramatically slows biomass decomposition. The lack of living organisms in the Black Sea limits any potential ecosystem risks. Through pilot deployments, the team will examine the durability of sunken biomass and better ways to measure and model the carbon removed.",R&D-2023,0,"Tel Aviv, Israel",Biomass carbon removal & storage,0,0,not specified
Charm Industrial,"Charm Industrial has created a novel process for preparing and injecting bio-oil into geologic storage. Bio-oil is produced from biomass and maintains much of the carbon that was captured naturally by the plants. By injecting it into secure geologic storage, they’re making the carbon storage permanent.",Offtake-2023,112003,"San Francisco, CA, US",Biomass carbon removal & storage,112003,$52.9M,2024 – 2030
Arbor,"Arbor is developing a modular, compact approach to Biomass Carbon Removal and Storage (BiCRS), the process of removing carbon by converting biomass waste to products such as electricity and permanently storing the CO₂ underground. Their technology combines a gasifier that can work flexibly across biomass types with an advanced turbine that maximizes electrical efficiency. Arbor’s modular system can be quickly deployed and is designed to be manufactured at substantially lower costs.",Prepurchase-2022,1000,"Los Angeles, CA, US",Biomass carbon removal & storage,0,0,not specified
Arca,"Arca is capturing CO₂ from the atmosphere and mineralizing it into rock. They work with producers of critical metals, transforming mine waste into a massive carbon sink. With autonomous rovers, their approach accelerates carbon mineralization, a natural process storing CO₂ permanently as new carbonate minerals. By creating a system that works directly at the mine site, Arca avoids the cost and emissions of moving material to processing facilities.",Prepurchase-2022,380,"Vancouver, British Columbia, CA",Mineralization,0,0,not specified
Captura,"Captura is harnessing the ocean for scalable removal by designing an electrochemical process to separate acid and base from seawater. The acid is used to remove CO₂ that’s present in seawater, which is injected for permanent geologic storage. The base is used to treat and return the remaining water safely to the ocean, and the ocean then draws down further CO₂ from the atmosphere. Captura is developing optimized membranes to increase electrical efficiency and reduce removal costs.",Prepurchase-2022,508,"Pasadena, CA, US",Direct ocean removal,0,0,not specified
Carbon To Stone,"Carbon To Stone is developing a new form of direct air capture, in which a solvent that binds CO₂ is regenerated by reacting with alkaline waste materials. By replacing conventional solvent regeneration using heat or pressure changes with direct mineralization of low-cost alkaline wastes such as steel slag, the team can significantly reduce the energy, and thus the cost, required. The CO₂ is durably stored as solid carbonate materials that can be used for alternative cements.",Prepurchase-2022,1269,"Ithaca, NY, US",Direct air capture,0,0,not specified
Cella,"Cella increases the options for safe and secure carbon storage via mineralization. They accelerate the natural process that converts CO₂ into solid mineral form by injecting it into volcanic rock formations together with saline water and geothermal brine waste, with an approach that lowers cost and minimizes environmental impacts. Cella’s technology integrates low-carbon geothermal heat and can be paired with a variety of capture methods.",Prepurchase-2022,2198,"New York, NY, US",not specified,0,0,not specified
Inplanet,Inplanet accelerates natural mineral weathering to permanently sequester CO₂ and regenerate tropical soils. They partner with farmers to apply safe silicate rock powders under warmer and wetter conditions that can result in faster weathering rates and thus faster CO₂ drawdown. The team is developing monitoring stations to generate public field trial data to improve the field’s understanding of how weathering rates vary under tropical soil and weather conditions across Brazil.,Prepurchase-2022,1041,"Munich, Germany",Field weathering,0,0,not specified
Kodama,"Kodama Systems and the Yale Carbon Containment Lab are deploying a proof-of-concept method of storing waste woody biomass by burying it in anoxic chambers underground, preventing decomposition. The team will experiment with how chamber conditions and above-ground disturbances impact durability and reversal risk.",R&D-2022,0,"Sonora, CA, US",Biomass carbon removal & storage,0,0,not specified
Nitricity,"Nitricity is exploring the potential of integrating carbon removal into a novel process for the electrified production of clean fertilizer. This process combines carbon-neutral nitrogen compounds, phosphate rock and CO₂, producing nitrophosphates for the fertilizer industry and storing CO₂ durably as limestone. This new pathway could present a low-cost storage solution for dilute CO₂ streams with co-benefits of decarbonizing the fertilizer industry.",R&D-2022,0,"Fremont, CA, US",not specified,0,0,not specified
AspiraDAC,"AspiraDAC is building a modular, solar-powered direct air capture system with the energy supply integrated into the modules. Their metal-organic framework sorbent has low temperature heat requirements and a path to cheap material costs, and their modular approach allows them to experiment with a more distributed scale-up.",Prepurchase-2022,500,"Sydney, Australia",Direct air capture,0,0,not specified
Calcite-Origen,"This project, a collaboration between 8 Rivers and Origen , accelerates the natural process of carbon mineralization by contacting highly reactive slaked lime with ambient air to capture CO₂. The resulting carbonate minerals are calcined to create a concentrated CO₂ stream for geologic storage, and then looped continuously. The inexpensive materials and fast cycle time make this a promising approach to affordable capture at scale.",Prepurchase-2022,278,"Durham, US and Bristol, UK",Direct air capture,0,0,not specified
RepAir,RepAir uses clean electricity to capture CO₂ from the air using a novel electrochemical cell and partners with Carbfix to inject and mineralize the CO₂ underground. The demonstrated energy efficiency of RepAir’s capture step is already notable and continues to advance. This approach has the potential to deliver low-cost carbon removal that minimizes added strain to the electric grid.,Prepurchase-2022,199,"Tel Aviv, Israel",Direct air capture,0,0,not specified
Travertine,"Travertine is re-engineering chemical production for carbon removal. Using electrochemistry, Travertine produces sulfuric acid to accelerate the weathering of ultramafic mine tailings, releasing reactive elements that convert carbon dioxide from the air into carbonate minerals that are stable on geologic timescales. Their process turns mining waste into a source of carbon removal as well as raw materials for other clean transition technologies such as batteries.",Prepurchase-2022,365,"Boulder, CO, US",Mineralization,0,0,not specified
Living Carbon,"Living Carbon wants to engineer algae to rapidly produce sporopollenin, a highly durable biopolymer which can then be dried, harvested and stored. Initial research aims to better understand the field’s thinking on the durability of sporopollenin as well as the optimal algae strain to quickly produce it. Applying synthetic biology tools to engineer natural systems for improved and durable carbon capture has the potential to be a low-cost and scalable removal pathway.",R&D-2022,0,"Hayward, CA, US",Biomass carbon removal & storage,0,0,not specified
